source,target,actors_common,genres_common,similaridade,rating_media,peso,peso_bf
tt0015947,tt0017470,6,1,13,6.65,0.076923,0.076923
tt0005230,tt0006936,6,0,12,0.0,0.083333,0.083333
tt0005230,tt0007155,6,0,12,0.0,0.083333,0.083333
tt0005230,tt0007249,6,0,12,0.0,0.083333,0.083333
tt0006936,tt0007155,6,0,12,0.0,0.083333,0.083333
tt0006936,tt0007249,6,0,12,0.0,0.083333,0.083333
tt0007155,tt0007249,6,0,12,0.0,0.083333,0.083333
tt0003167,tt0004972,6,1,13,5.9,0.076923,0.076923
tt0010125,tt0013370,6,1,13,0.0,0.076923,0.076923
tt0003643,tt0004972,6,1,13,6.25,0.076923,0.076923
tt0006933,tt0007414,6,1,13,3.0,0.076923,0.076923
tt0010511,tt0010808,6,1,13,0.0,0.076923,0.076923
tt0008367,tt0009372,6,1,13,0.0,0.076923,0.076923
tt0015968,tt0015969,6,1,13,3.55,0.076923,0.076923
tt0006187,tt0007594,6,1,13,0.0,0.076923,0.076923
tt0006630,tt0006685,6,1,13,0.0,0.076923,0.076923
tt0011019,tt0011667,6,1,13,2.95,0.076923,0.076923
tt0007271,tt0008058,6,1,13,3.55,0.076923,0.076923
tt0005377,tt0006482,6,1,13,5.75,0.076923,0.076923
tt0004851,tt0005803,6,0,12,0.0,0.083333,0.083333
tt0007488,tt0007596,6,2,14,0.0,0.071429,0.071429
tt0003449,tt0004232,6,1,13,2.3,0.076923,0.076923
tt0003825,tt0004000,6,1,13,0.0,0.076923,0.076923
tt0022846,tt0023356,6,0,12,3.65,0.083333,0.083333
tt0005707,tt0006772,6,1,13,0.0,0.076923,0.076923
tt0005707,tt0007375,6,1,13,1.45,0.076923,0.076923
tt0009714,tt0009772,6,1,13,0.0,0.076923,0.076923
tt0010192,tt0012735,6,0,12,2.85,0.083333,0.083333
tt0015930,tt0018156,6,2,14,4.9,0.071429,0.071429
tt0005384,tt0006002,6,1,13,5.35,0.076923,0.076923
tt0005794,tt0006063,6,0,12,2.1,0.083333,0.083333
tt0005794,tt0006097,6,0,12,0.0,0.083333,0.083333
tt0005900,tt0006063,6,0,12,2.1,0.083333,0.083333
tt0007030,tt0008491,6,0,12,2.55,0.083333,0.083333
tt0006063,tt0009094,6,1,13,2.1,0.076923,0.076923
tt0006097,tt0009094,6,1,13,0.0,0.076923,0.076923
tt0004514,tt0004866,6,2,14,2.4,0.071429,0.071429
tt0004514,tt0004545,6,1,13,1.5,0.076923,0.076923
tt0016707,tt0016939,6,2,14,3.15,0.071429,0.071429
tt0008810,tt0009622,6,1,13,4.35,0.076923,0.076923
tt0012768,tt0012877,6,1,13,2.4,0.076923,0.076923
tt0007945,tt0008730,6,0,12,3.2,0.083333,0.083333
tt0006629,tt0006725,6,1,13,0.0,0.076923,0.076923
tt0006629,tt0007270,6,1,13,3.8,0.076923,0.076923
tt0006725,tt0006875,6,1,13,0.0,0.076923,0.076923
tt0006725,tt0007270,6,1,13,3.8,0.076923,0.076923
tt0006725,tt0007318,6,1,13,0.0,0.076923,0.076923
tt0006875,tt0007318,6,2,14,0.0,0.071429,0.071429
tt0009956,tt0011577,6,2,14,2.65,0.071429,0.071429
tt0007786,tt0008641,6,1,13,0.0,0.076923,0.076923
tt0021916,tt0022310,6,2,14,6.35,0.071429,0.071429
tt0016697,tt0017327,6,2,14,2.4,0.071429,0.071429
tt0028583,tt0028967,6,2,14,6.3,0.071429,0.071429
tt0028400,tt0028650,6,2,14,6.7,0.071429,0.071429
tt0008470,tt0009414,6,0,12,2.5,0.083333,0.083333
tt0008470,tt0010536,6,0,12,2.85,0.083333,0.083333
tt0008970,tt0010041,6,0,12,0.0,0.083333,0.083333
tt0009701,tt0009757,6,0,12,7.05,0.083333,0.083333
tt0010089,tt0010265,6,0,12,6.55,0.083333,0.083333
tt0004861,tt0005738,6,1,13,0.0,0.076923,0.076923
tt0009905,tt0012533,6,0,12,3.8,0.083333,0.083333
tt0010935,tt0011818,6,0,12,2.0,0.083333,0.083333
tt0010935,tt0011834,6,0,12,2.0,0.083333,0.083333
tt0011818,tt0011834,6,0,12,0.0,0.083333,0.083333
tt0016631,tt0016665,6,2,14,0.0,0.071429,0.071429
tt0016631,tt0016866,6,2,14,0.0,0.071429,0.071429
tt0016665,tt0016866,6,2,14,0.0,0.071429,0.071429
tt0006523,tt0007000,6,0,12,3.95,0.083333,0.083333
tt0009142,tt0010255,6,3,15,6.1,0.066667,0.066667
tt0009109,tt0010662,6,1,13,5.85,0.076923,0.076923
tt0012298,tt0013630,6,1,13,3.25,0.076923,0.076923
tt0028667,tt0028670,6,2,14,5.85,0.071429,0.071429
tt0007201,tt0007373,6,0,12,4.05,0.083333,0.083333
