tconst,titulo,ano,generos,nota,diretores
tt0003116,The Man from the Golden West,1913,"Adventure,Crime,Drama",,
tt0003150,Miraklet: Tavlor ur det katolska samfundslivet,1913,Drama,7.2,nm0803705
tt0003159,"Les Misérables, Part 2: Fantine",1913,Drama,5.7,nm0135052
tt0003165,Fantômas: The Dead Man Who Killed,1913,"Crime,Drama,Mystery",6.9,nm0275421
tt0003167,"Home, Sweet Home",1914,Drama,5.7,nm0000428
tt0003171,Moths,1913,Drama,,nm0551361
tt0003227,"The Girl from Abroad; or, The Great Underworld",1913,Drama,3.6,nm0830249
tt0003287,Pommy Arrives in Australia,1913,Comedy,,nm0519315
tt0003289,The Port of Doom,1913,Drama,,nm0205986
tt0003298,A Princess of Bagdad,1913,"Drama,Fantasy",,nm0309130
tt0003305,The Secret of the Well,1914,,,nm0869665
tt0003306,På livets ödesvägar,1913,Drama,,nm0830249
tt0003309,Captive Souls,1914,,4.3,nm0002031
tt0003324,A Regiment of Two,1913,"Comedy,Drama",6.4,nm0048478|nm0408433
tt0003330,The Life of Richard Wagner,1913,"Biography,Drama,History",6.2,nm0296193
tt0003335,The Robbers,1913,Drama,7.0,nm0250480
tt0003337,Robin Hood,1913,Adventure,5.6,nm0551375
tt0003362,The Sea Wolf,1913,Drama,6.0,nm0098376
tt0003365,Shadows of the Moulin Rouge,1913,Drama,5.3,nm0349785
tt0003376,Silvia Silombra,1913,,,nm0159654
tt0003378,A Sister to Carmen,1913,Drama,,nm0309130
tt0003379,Sixty Years a Queen,1913,Biography,3.3,nm0354790
tt0003387,The Sparrow,1914,,,nm0869665
tt0003390,Ein Sommernachtstraum in unserer Zeit,1914,,,nm0753233
tt0003394,Den sorte familie,1914,,,nm0169878
tt0003406,Statistinnen des Lebens,1913,,,nm0643290
tt0003414,The Stranglers of Paris,1913,"Crime,Drama",,nm0330280
tt0003419,The Student of Prague,1913,"Drama,Fantasy,Horror",6.4,nm0263912|nm0753233
tt0003423,Die Sumpfblume,1913,,,nm0488932
tt0003431,Die Tangokönigin,1913,,5.8,nm0533048
tt0003438,Ten Nights in a Barroom,1913,Drama,5.7,nm0066734
tt0003442,Tess of the D'Urbervilles,1913,"Drama,Romance",5.2,nm0205986
tt0003449,The Third Degree,1913,Drama,4.6,nm0641967
tt0003456,Through Fire and Air,1913,,6.9,
tt0003471,Traffic in Souls,1913,"Crime,Drama",6.0,nm0875869
tt0003489,The Last Days of Pompeii,1913,"Adventure,Drama",6.1,nm0734958
tt0003493,Ungarische Rhapsodie,1913,,,nm0081288
tt0003502,A Venetian Night,1914,,4.8,nm0718121
